risn;XX_PE_listview_title_PE0100;AA425;TITREG;A0335;Dokumententyp;A0403;A0410;A0412;ISBN;Zeitschrift/Zeitung;DOI;Band;Nummer;Datum;Seiten von–bis
184;Meding, Oskar;1874;Um Szepter und Kronen;;Buch (Monographie);4. Aufl.;Stuttgart;Hallberger;;;;[Abth. 1], Bd. 4;;;
185;Meding, Oskar;1874;Um Szepter und Kronen;;Buch (Monographie);2. Aufl.;Stuttgart;Hallberger;;;;Bd. 2;;;
186;Meding, Oskar;1874;Um Szepter und Kronen;;Buch (Monographie);2. Aufl.;Stuttgart;Hallberger;;;;Bd. 3;;;
187;Meding, Oskar;1874;Um Szepter und Kronen;;Buch (Monographie);2. Aufl.;Stuttgart;Hallberger;;;;Bd. 4;;;
188;Meding, Oskar;1874;Die Römerfahrt der Epigonen;Zeit-Roman;Unklarer Dokumententyp;;;;;;;;;;
189;Meding, Oskar;1874;Die Römerfahrt der Epigonen;;Buch (Monographie);;Berlin;Janke;;;;Bd. 1;;;
190;Meding, Oskar;1874;Die Römerfahrt der Epigonen;;Buch (Monographie);;Berlin;Janke;;;;Bd. 2;;;
191;Meding, Oskar;1874;Die Römerfahrt der Epigonen;;Buch (Monographie);;Berlin;Janke;;;;Bd. 3;;;
192;Meding, Oskar;1874;Der Todesgruß der Legionen;Zeit-Roman;Unklarer Dokumententyp;;;;;;;;;;
193;Meding, Oskar;1874;Der Todesgruß der Legionen;;Buch (Monographie);;Berlin;Janke;;;;1;;;
194;Meding, Oskar;1874;Der Todesgruß der Legionen;;Buch (Monographie);;Berlin;Janke;;;;Bd 1;;;
195;Meding, Oskar;1874;Der Todesgruß der Legionen;;Buch (Monographie);;Berlin;Janke;;;;Bd 2;;;
196;Meding, Oskar;1874;Der Todesgruß der Legionen;;Buch (Monographie);;Berlin;Janke;;;;Bd 3;;;
197;Meding, Oskar;1873-1876;Um Szepter und Kronen;Zeitroman;Unklarer Dokumententyp;;;;;;;;;;
198;Meding, Oskar;1873;Um Szepter und Kronen;Zeitroman;Unklarer Dokumententyp;;;;;;;;;;
199;Meding, Oskar;1873;Um Szepter und Kronen;;Buch (Monographie);2. Aufl.;Stuttgart;Hallberger;;;;Bd. 1;;;
200;Meding, Oskar;1873;Um Szepter und Kronen;;Buch (Monographie);3. Aufl.;Stuttgart;Hallberger;;;;Bd. 1;;;
201;Meding, Oskar;1873;Um Szepter und Kronen;;Buch (Monographie);2. Aufl.;Stuttgart;Hallberger;;;;Bd. 1;;;
202;Meding, Oskar;1873;Um Szepter und Kronen;;Buch (Monographie);;Stuttgart;Hallberger;;;;Bd. 1;;;
203;Meding, Oskar;1873;Um Szepter und Kronen;;Buch (Monographie);4. Aufl.;Stuttgart;Hallberger;;;;[Abth. 1], Bd. 1;;;
204;Meding, Oskar;1873;Um Szepter und Kronen;;Buch (Monographie);4. Aufl.;Stuttgart;Hallberger;;;;[Abth. 1], Bd. 2;;;
205;Meding, Oskar;1873;Um Szepter und Kronen;;Buch (Monographie);2. Aufl.;Stuttgart;Hallberger;;;;Bd. 2;;;
206;Meding, Oskar;1873;Um Szepter und Kronen;;Buch (Monographie);3. Aufl.;Stuttgart;Hallberger;;;;Bd. 2;;;
207;Meding, Oskar;1873;Um Szepter und Kronen;;Buch (Monographie);2. Aufl.;Stuttgart;Hallberger;;;;Bd. 2;;;
208;Meding, Oskar;1873;Um Szepter und Kronen;;Buch (Monographie);;Stuttgart;Hallberger;;;;Bd. 2;;;
209;Meding, Oskar;1873;Um Szepter und Kronen;;Buch (Monographie);2. Aufl.;Stuttgart;Hallberger;;;;Bd. 3;;;
210;Meding, Oskar;1873;Um Szepter und Kronen;;Buch (Monographie);3. Aufl.;Stuttgart;Hallberger;;;;Bd. 3;;;
211;Meding, Oskar;1873;Um Szepter und Kronen;;Buch (Monographie);;Stuttgart;Hallberger;;;;Bd. 3;;;
212;Meding, Oskar;1873;Um Szepter und Kronen;;Buch (Monographie);2. Aufl.;Stuttgart;Hallberger;;;;Bd. 4;;;
213;Meding, Oskar;1873;Um Szepter und Kronen;;Buch (Monographie);3. Aufl.;Stuttgart;Hallberger;;;;Bd. 4;;;
214;Meding, Oskar;1873;Um Szepter und Kronen;;Buch (Monographie);;Stuttgart;Hallberger;;;;Bd. 4;;;
215;Meding, Oskar;1873;Europäische Minen und Gegenminen;Zeitroman;Unklarer Dokumententyp;;;;;;;;;;
216;Meding, Oskar;1872;Um Szepter und Kronen;[Abt. 1], 3;Buch (Monographie);[Mikrofiche-Ausg.];Stuttgart;Hallberger;;;;1;;;
217;Meding, Oskar;1872;Um Szepter und Kronen;[Abt. 1], 1;Buch (Monographie);[Mikrofiche-Ausg.];Stuttgart;Hallberger;;;;1;;;
218;Meding, Oskar;1872;Um Szepter und Kronen;[Abt. 1], 2;Buch (Monographie);[Mikrofiche-Ausg.];Stuttgart;Hallberger;;;;1;;;
219;Meding, Oskar;1872;Um Szepter und Kronen;[Abt. 1], 4;Buch (Monographie);[Mikrofiche-Ausg.];Stuttgart;Hallberger;;;;1;;;
220;Meding, Oskar;1872;Um Szepter und Kronen;;Buch (Monographie);;Stuttgart;Hallberger;;;;[Abth. 1], Bd. 1;;;
221;Meding, Oskar;1872;Um Szepter und Kronen;;Buch (Monographie);;Stuttgart;Hallberger;;;;[Abth. 1], Bd. 2;;;
222;Meding, Oskar;1872;Um Szepter und Kronen;;Buch (Monographie);;Stuttgart;Hallberger;;;;[Abth. 1], Bd. 3;;;
223;Meding, Oskar;1872;Um Szepter und Kronen;;Buch (Monographie);;Stuttgart;Hallberger;;;;[Abth. 1], Bd. 4;;;
224;Meding, Oskar;;Um Szepter und Kronen;Zeitroman;Unklarer Dokumententyp;;;;;;;;;;
225;Meding, Oskar;;Der Todesgruß der Legionen;Zeit-Roman;Unklarer Dokumententyp;;;;;;;;;;
226;Matijevich, Elke;1995;The Zeitroman of the late Weimar Republic;;Buch (Monographie);;New York [u.a.];Lang;;;;77;;;
227;Matijevich, Elke;1995;The Zeitroman of the late Weimar Republic;;Buch (Monographie);;New York;Lang;;;;77;;;
228;Mastriani, Francesco;1856;Mein Leichnam;Zeitroman;Unklarer Dokumententyp;;;;;;;;;;
229;Mastriani, Francesco;1856;Mein Leichnam;;Schriften eines Autors;;Leipzig;Kollmann;;;;Bd. 1;;;
230;Mastriani, Francesco;1856;Mein Leichnam;;Schriften eines Autors;;Leipzig;Kollmann;;;;Bd. 2;;;
231;Mahn, Anny;1916;Die den Weg bereiten;Ein Zeitroman;Buch (Monographie);;Hamburg;Enoch;;;;;;;
232;Mahn, Anny;1916;Die den Weg bereiten;Ein Zeitroman;Buch (Monographie);;Hamburg;Enoch;;;;;;;
233;Lubojatzky, Franz Anton;1851;Oswald Ehrenhaupt oder Pharisäer und Zöllner;Zeitroman;Unklarer Dokumententyp;;;;;;;;;;
234;Lubojatzky, Franz Anton;1851;Oswald Ehrenhaupt oder Pharisäer und Zöllner;;Buch (Monographie);;Grimma;Verlags-Comptoir;;;;1;;;
235;Lubojatzky, Franz Anton;1851;Oswald Ehrenhaupt oder Pharisäer und Zöllner;;Buch (Monographie);;Grimma;Verlags-Comptoir;;;;2;;;
236;Lubojatzky, Franz Anton;1851;Oswald Ehrenhaupt oder Pharisäer und Zöllner;;Buch (Monographie);;Grimma;Verlags-Comptoir;;;;3;;;
237;Lambrecht, Nanny;1937;Anne-Brigitte;Ein Zeitroman;Buch (Monographie);;Hamburg;;;;;;;;
238;Lambrecht, Nanny;1935;Anne-Brigitte;Ein Zeitroman;Buch (Monographie);;Berlin;Kolk;;;;;;;
239;Kutzleb, Hjalmar;ca. 1927;Die Hochwächter;Ein Zeitroman;Buch (Monographie);einmalige Ausg. für die Dt. Hausbücherei;Hamburg [u.a.];Hanseatische Verlagsanst;;;;;;;
240;Kutzleb, Hjalmar;1927;Die Hochwächter;Ein Zeitroman;Buch (Monographie);;Hamburg;Hanseat. Verl. Anst;;;;;;;
241;Kutzleb, Hjalmar;1927;Die Hochwächter;Ein Zeitroman;Buch (Monographie);;Hamburg & Berlin;Hanseat. Verl.-Anst;;;;;;;
242;Kühn, Erich;1922;Di Angeseilten;Ein Zeitroman;Buch (Monographie);;München;Dt. Volksverl.;;;;;;;
243;Kuehn, Erich;-1922;Die Angeseilten;Ein Zeitroman;Buch (Monographie);;München;Deutscher Volksverl.;;;;;;;
244;Kreutzer, Guido;-1915;Wetterleuchten;"Guido Kreutzer ; Zeitroman";Buch (Monographie);;Berlin;C. Duncker;;;;;;;
245;Körber, Lili;1936;Sato-San;"Ein japanischer Held ; satyrischer Zeitroman";Buch (Monographie);;Wien [u.a.];Nath;;;;;;;
246;Kohne, Gustav;1935;Der blinde Seher;Ein sozial-kultureller Zeitroman;Buch (Monographie);;Braunschweig [u.a.];Westermann;;;;;;;
247;Kohne, Gustav;1935;Der blinde Seher;Ein sozial-kultureller Zeitroman;Buch (Monographie);;Braunschweig u.a.;Westermann;;;;;;;
248;Kohne, Gustav;-1935;Der blinde Scher;Ein sozial-kultureller Zeitroman;Buch (Monographie);;Braunschweig, Berlin, Hamburg;Westermann;;;;;;;
249;Koerber, Lili;-1936;Sato-San, ein japanischer Held;Satyr. Zeitroman;Buch (Monographie);;Wien, Leipzig;Nath;;;;;;;
250;Klosterzell, Kathi von;1882;Ella das Judenkind;Ein Zeitroman;Unklarer Dokumententyp;;;;;;;;;;
251;Klosterzell, Kathi von;1882;Ella das Judenkind;;Buch (Monographie);;Berlin;;;;;Bd. 1;;;
252;Klosterzell, Kathi von;1882;Ella das Judenkind;;Buch (Monographie);;Berlin;;;;;Bd. 2;;;
253;Klosterzell, Kathi von;1882;Ella das Judenkind;;Buch (Monographie);;Berlin;;;;;Bd. 3;;;
254;Klinck, Fanny;1884;Im Banne der dritten Abtheilung;Zeit-Roman;Unklarer Dokumententyp;;;;;;;;;;
255;Klinck, Fanny;1884;Im Banne der dritten Abtheilung;;Buch (Monographie);;Berlin;Janke;;;;Bd. 1;;;
256;Klinck, Fanny;1884;Im Banne der dritten Abtheilung;;Buch (Monographie);;Berlin;Janke;;;;Bd. 2;;;
257;Kirstein, Paul A.;1905;Glückshandel;Zeitroman von Paul A. Kirstein;Buch (Monographie);;Berlin, Eisenach, Leipzig;H. Hillger;;;;No 483);;;
258;Keller, Paul;1923;Die vier Einsiedler. Ein Zeitroman von Paul Keller. 36.-45. Aufl;;Buch (Monographie);;Breslau;Bergstadt-V;;;;;;;
259;Keller, Paul;1923;Die vier Einsiedler;Ein Zeitroman;Buch (Monographie);21. - 35. Aufl.;Breslau;Bergstadtverl.;;;;;;;
260;Katschinski, Alfred;1921;Die zweite Heimat;Ein Zeitroman aus dem Memellande;Buch (Monographie);;Berlin;Deutsche Landbuchhandlung;;;;;;;
261;Karrasch, Alfred;1942;Parteigenosse Schmiedecke;Zeitroman;Buch (Monographie);(78.-86. Taus.);Berlin;Zeitgeschichte;;;;;;;
262;Karrasch, Alfred;1941;Parteigenosse Schmiedecke;Zeitroman;Buch (Monographie);(72.-77. Taus.);Berlin;Zeitgeschichte;;;;;;;
263;Kabel, Walther;1924;Seine Frau - sein Schicksal;Ein Zeitroman;Buch (Monographie);;Berlin;Verlagshaus f. Volkslit. u. Kunst;;;;Bd 501);;;
264;Johannes, Martin Otto;1935;Stehauf;Deutscher Zeitroman;Buch (Monographie);;Braunschweig [u.a.];Westermann;;;;;;;
265;Johannes, Martin Otto;1935;Stehauf;Deutscher Zeitroman;Buch (Monographie);;Braunschweig [u.a.];Westermann;;;;;;;
266;Ilg, Paul;2018;Der Hungerturm;Ein Zeitroman;Schriften eines Autors;;Zürich;Chronos;;;;Neue Folge, Band 50;;;
267;Hoefer, Edmund;1872;Der Demagoge;;Buch (Monographie);;Jena;Hermann Castenoble;;;;Bd. 1, 1;;;
268;Hoefer, Edmund;1872;Der Demagoge;;Buch (Monographie);;Jena;Hermann Castenoble;;;;Bd. 1, 2;;;
269;Hoefer, Edmund;1872;Der Demagoge;;Buch (Monographie);;Jena;Hermann Castenoble;;;;Bd. 2, 1;;;
270;Hoefer, Edmund;1872;Der Demagoge;;Buch (Monographie);;Jena;Hermann Castenoble;;;;Bd. 2, 2;;;
271;Hoefer, Edmund;1872;Der Demagoge;;Buch (Monographie);;Jena;Hermann Castenoble;;;;Bd. 3, 1;;;
272;Hoefer, Edmund;1872;Der Demagoge;;Buch (Monographie);;Jena;Hermann Castenoble;;;;Bd. 3, 2;;;
273;Hoefer, Edmund;;Der Demagoge;Ein Zeitroman;Unklarer Dokumententyp;;;;;;;;;;
274;Hillman, Roger;1983;Zeitroman;The novel and society in Germany, 1830-1900;Buch (Monographie);;Berne, Frankfurt a.M. [usw.];P. Lang;;;;12);;;
275;Heimdall;1908;Berlins Ende;Zeitroman von Heimdall;Buch (Monographie);;Berlin & Leipzig;H. Seemann;;;;2);;;
276;Heimann, Erwin;-1939;Liebling der Götter;Ein Künstler- u. Zeitroman;Buch (Monographie);;Bern;Francke;;;;;;;
277;Harten-Hoencke, Toni;1929;Karolas Scheidung;Zeitroman;Buch (Monographie);;Berlin & Leipzig;Behr;;;;;;;
278;Harnisch, Johannes W.;1919;Der Zerfall;Zeitroman;Buch (Monographie);;Bln;Askan. Verl.;;;;;;;
279;Harder, Agnes;1919;Die Präsidentin;Zeitroman von Agnes Harder;Buch (Monographie);;Bln;Scherl;;;;;;;
280;Hanstein, Adalbert;1895;Die Aktien des Glücks;Humoristisch-satirischer Zeitroman;Buch (Monographie);;Berlin;Verein für Freies Schriftthum;;;;;;;
281;Hanstein, Adalbert;1895;Die Aktien des Glücks;Humoristisch-satirischer Zeitroman;Buch (Monographie);5. Tsd;Berlin;Verein für Freies Schriftthum;;;;1,1];;;
282;Hagen, Wilhelm;-1917;Die heilige Not;Zeitroman;Buch (Monographie);;Berlin;Duncker;;;;;;;
283;Guseck, Bernd;1914;Der Welfenlegionär;"Erzählung aus der Geschichte der Gegenwart ;  Zeitroman";Buch (Monographie);4.-8. Tsd;Berlin;Janke;;;;;;;
284;Guseck, Bernd;1914;Der Welfenlegionär;Zeitroman;Buch (Monographie);;Berlin;Janke;;;;;;;
285;Gruenz, K.;1858;"Der Weltpriester und ""Försters Lieschen""";Zeitroman [aus voller  Wahrheit];Buch (Monographie);;Berlin;;;;;;;;
286;Grossmann, Julie;1847;Eine gemischte Gesellschaft;Zeit-Roman;Buch (Monographie);;Breslau;;;;;;;;
287;Graf, Oskar Maria;1994;Werkausgabe;Der Abgrund;Schriften eines Autors;;München [u.a.];List;;;;3;;;
288;Graf, Oskar Maria;1994;Werkausgabe;Der Abgrund;Schriften eines Autors;Die vorliegende Fassung folgt der 1936 publ. Erstausg;München [u.a.];List;;;;3;;;
289;Graf, Oskar Maria;1994;Werkausgabe;Der Abgrund;Schriften eines Autors;[Studienausg.];München [u.a.];List;;;;3;;;
290;Graf, Oskar Maria;1994;Der Abgrund;Ein Zeitroman;Schriften eines Autors;;München [u.a.];List;;;;Bd. 3;;;
291;Graf, Oskar Maria;1985;Werkausgabe;Der Abgrund;Schriften eines Autors;;Frankfurt am Main;Büchergilde Gutenberg;;;;3;;;
292;Graf, Oskar Maria;1985;Werkausgabe;Der Abgrund;Buch (Monographie);;[Frankfurt am Main];Büchergilde Gutenberg;;;;3;;;
293;Graf, Oskar Maria;1982;Der Abgrund;Ein Zeitroman;Schriften eines Autors;;Frankfurt am Main;Büchergilde Gutenberg;;;;Bd. 3;;;
294;Graf, Oskar Maria;1937;Der Abgrund;E. Zeitroman;Buch (Monographie);;Zürich;Universum Buchgemeinschaft;;;;265;;;
295;Graf, Oskar Maria;1936;Der Abgrund;E. Zeitroman;Schriften eines Autors;;Moskau;Verlagsgen. ausländischer Arbeiter i. d. UdSSR;;;;;;;
296;Graf, Oskar Maria;1936;Der Abgrund;Ein Zeitroman;Buch (Monographie);;Moskau [u.a.];Verl.-Genossenschaft Ausländischer Arbeiter in der UdSSR;;;;;;;
297;Graf, Oskar Maria;-1936;Der Abgrund;Ein Zeitroman;Buch (Monographie);1.-3. Taus;(London);Malik-Verl.;;;;;;;
298;Graefe, Gerhard;1967;Die Gestalt des Literaten im Zeitroman des 19. Jahrhunderts;;Buch (Monographie);Nachdr. [d. Ausg.] Berlin 1937;Nendeln/Liechtenstein;Kraus;;;;185;;;
299;Goehring, Carl;1845;Der Pietist;Ein religiöser Zeitroman in sechszehn Trakten;Buch (Monographie);;Grimma;Verl.-Comptoir;;;;;;;
300;Goedsche, Hermann O.;;Des Cäsars Ende;Zeit-Roman;Unklarer Dokumententyp;;;;;;;;;;
301;Goedsche, Hermann O.;1876;Des Cäsars Ende;;Buch (Monographie);[Mikrofiche-Ausg.];Berlin;Janke;;;;1 (1876);;;
302;Goedsche, Hermann O.;1876;Des Cäsars Ende;;Buch (Monographie);[Mikrofiche-Ausg.];Berlin;Janke;;;;2 (1876);;;
303;Geißler, Rolf;2010;Dekadenz und Heroismus;Zeitroman und völkisch-nationalistische  Literaturkritik;Buch (Monographie);;München;Oldenbourg Wissenschaftsverlag;;;;;;;
304;Geißler, Rolf;1964;Dekadenz und Heroismus. Zeitroman und völkisch-nationalistische  Literaturkritik;;Buch (Monographie);;s.l.;De Gruyter;;;;;;;
305;Geißler, Rolf;1964;Dekadenz und Heroismus;Zeitroman und  völkisch-nationalsozialistische Literaturkritik;Buch (Monographie);;Stuttgart;Dt. Verl.-Anst;;;;;;;
306;Geissler, Rolf;1964;Dekadenz und Heroismus;Zeitroman und völkisch-nationalistische  Literaturkritik;Buch (Monographie);;München;Oldenbourg Wissenschaftsverlag;;;;;;;
307;Geißler, Rolf;1964;Dekadenz und Heroismus;Zeitroman und  völkisch-nationalsozialistische Literaturkritik;Buch (Monographie);;Stuttgart;Dt. Verl.-Anst;;;;9;;;
308;Fuhrmann, Otto;1909;Von Eulenburg zu Zeppelin;Ein Zeitroman;Buch (Monographie);;Berlin;Walther;;;;;;;
309;Friedrich, Friedrich;1871;Die Frau des Ministers;;Buch (Monographie);;Berlin;;;;;Bd. 1;;;
310;Friedrich, Friedrich;1871;Die Frau des Ministers;;Buch (Monographie);;Berlin;;;;;Bd. 2;;;
311;Friedrich, Friedrich;-1871;Die Frau des Ministers;Zeitroman;Unklarer Dokumententyp;;;;;;;;;;
312;Fliedl, Konstanze;1986;Zeitroman und Heilsgeschichte;"Elisabeth Langgässers ""Märkische  Argonautenfahrt";Buch (Monographie);;Wien;Braumüller;;;;12;;;
313;Fischer-Markgraff, Elisabeth;1910;Surrogate;Ein Zeitroman von E. Fischer-Markgraff;Buch (Monographie);;Berlin;Taendler;;;;;;;
314;Eschstruth, Mathilde;1887;Meines Lebens Roman;Ein Zeitroman;Buch (Monographie);;Berlin;Schottlaender;;;;;;;
315;Erbe-Lyck, Else;1928;Notland;Ein Zeitroman in zwei Büchern;Buch (Monographie);;Burg an der Wupper;Nieder-Rheinischer Verl.;;;;;;;
316;Erbe, Else;1928;Notland;"Erbe, Else, Lyck ; Ein Zeitroman in 2 Büchern";Buch (Monographie);;Burg an d. Wupper;Nieder-Rhein. Verl.;;;;;;;
317;Endrös, Anton;1943;Brandfackeln im Bergdorf;Ein Zeitroman;Buch (Monographie);1. - 10. Tsd;Pressburg;Andree;;;;;;;
318;Doemens, Karl Wilhelm;1920;Die ’Andere’;"Doemens, Carl Wilhelm ; Ein Zeitroman aus d.  Rheinlande";Buch (Monographie);;Köln & Lpz;Salm-Verl.;;;;;;;
319;Dinter, Artur;1934;Die Sünde wider das Blut;Ein Zeitroman;Buch (Monographie);251.-260. Tsd;Leipzig;Hammer;;;;;;;
320;Dinter, Artur;1929;Die Sünde wider das Blut;Ein Zeitroman;Buch (Monographie);246. - 250. Tsd;Leipzig;Beust;;;;1;;;
321;Dinter, Artur;1928;Die Sünden der Zeit;Die Sünde wider die Liebe;Buch (Monographie);26.-30. Tsd;Leipzig;Beust;;;;3;;;
322;Dinter, Artur;1922;Die Sünde wider die Liebe. Ein Zeitroman von Artur Dinter;;Buch (Monographie);;Leipzig;Matthes, Thost;;;;;;;
323;Dinter, Artur;1922;Die Sünde wider die Liebe;Ein Zeitroman;Buch (Monographie);1.-5. Aufl., 1.-25. Tsd;Leipzig [u.a.];Matthes & Thost;;;;[Bd. 3];;;
324;Dinter, Artur;1921;Die Sünden der Zeit;Die Sünde wider den Geist;Buch (Monographie);11. Aufl., 51. - 55. Tsd;Leipzig [u.a.];Matthes & Thost;;;;2;;;
325;Dinter, Artur;1921;Die Sünde wider den Geist;E. Zeitroman;Buch (Monographie);12. - 20. Aufl.;Leipzig [u.a.];Matthes u. Thost;;;;;;;
326;Dinter, Artur;1921;Die Sünde wider den Geist. Ein Zeitroman von Artur Dinter. 1.-10.  Aufl;;Buch (Monographie);;Leipzig;Matthes, Thost;;;;;;;
327;Dinter, Artur;1921;Die Sünde wider den Geist;Ein Zeitroman;Buch (Monographie);12.-20. Aufl., 56.-100. Tsd;Leipzig [u.a.];Matthes & Thost;;;;[Bd. 2];;;
328;Dinter, Artur;1921;Die Sünde wider den Geist;Ein Zeitroman;Schriften eines Autors;1. - 10. Aufl., 1. - 50. Tsd;Leipzig;Matthes & Thost;;;;2;;;
329;Dinter, Artur;1921;Die Sünde wider den Geist;Ein Zeitroman;Schriften eines Autors;12. - 20. Aufl., 56. - 100. Tsd;Leipzig;Beust;;;;2;;;
330;Dinter, Artur;1921;Die Sünde wider das Blut;Ein Zeitroman;Buch (Monographie);15. Aufl., 146.-170. Tsd;Leipzig [u.a.];Matthes und Thost;;;;[Bd. 1];;;
331;Dinter, Artur;1921;Die Sünde wider das Blut;Ein Zeitroman;Buch (Monographie);15. Aufl., 146. - 170. Tsd;Leipzig [u.a.];Matthes & Thost;;;;;;;
332;Dinter, Artur;1921;Die Sünde wider das Blut;Ein Zeitroman;Buch (Monographie);16. Aufl. - 171. - 200. Tsd;Leipzig [u.a.];Matthes & Thost;;;;1;;;
333;Dinter, Artur;1920;Die Sünde wider das Blut;Ein Zeitroman;Buch (Monographie);14. Aufl., 131. - 140. Tsd;Leipzig [u.a.];Matthes & Thost;;;;1;;;
334;Dinter, Artur;1920;Die Sünde wider das Blut;Ein Zeitroman;Schriften eines Autors;10. Aufl., 71. - 80. Tsd;Leipzig;Matthes und Thost;;;;;;;
335;Dinter, Artur;1920;Die Sünde wider das Blut;Ein Zeitroman;Buch (Monographie);14. Aufl., 131. - 140. Tsd;Leipzig [u.a.];Matthes & Thost;;;;1;;;
336;Dinter, Artur;1920;Die Sünde wider das Blut;Ein Zeitroman;Buch (Monographie);13. Aufl. - 100. - 110. Tsd;Leipzig [u.a.];Matthes & Thost;;;;1;;;
337;Dinter, Artur;1920;Die Sünde wider das Blut;Ein Zeitroman;Buch (Monographie);14. Aufl., 121. - 130. Tsd;Leipzig [u.a.];Matthes & Thost;;;;1;;;
338;Dinter, Artur;1920;Die Sünde wider das Blut;Ein Zeitroman;Buch (Monographie);Zwölfte Auflage, 91.-100. Tausend;Leipzig;Verlag Matthes und Thost;;;;1;;;
339;Dinter, Artur;1919;Die Sünden der Zeit;Die Sünde wider das Blut;Buch (Monographie);4.u.5. Aufl.;Leipzig [u.a.];Matthes & Thost;;;;1;;;
340;Dinter, Artur;1919;Die Sünde wider das Blut;Ein Zeitroman;Buch (Monographie);6. - 10. Tsd;Leipzig;Wolfverl. E. Matthes;;;;;;;
341;Dinter, Artur;1919;Die Sünde wider das Blut;Ein Zeitroman;Buch (Monographie);2.-5. Tsd;Leipzig;Wolfverlag, Erich Matthes;;;;;;;
342;Dinter, Artur;1918;Die Sünde wider das Blut;Ein Zeitroman;Buch (Monographie);;Leipzig;Wolfverl.;;;;;;;
343;Dernburg, Friedrich;1889;Der Oberstolze;Ein Berliner Zeitroman;Unklarer Dokumententyp;;;;;;;;;;
344;Dernburg, Friedrich;1889;Der Oberstolze;;Buch (Monographie);;Berlin;Verlag von Walther & Apolant;;;;Bd. 1;;;
345;Dernburg, Friedrich;1889;Der Oberstolze;;Buch (Monographie);;Berlin;Verlag von Walther & Apolant;;;;Bd. 2;;;
346;;P 2006;"Der Zauberberg""";Zeitroman im doppelten Sinn der  Leitmotivtechnik;Unklarer Dokumententyp;;;;;;;;;;
347;Dabei, Adalmar;1886;Vom Cirkus zum Grafenschloss;Zeitroman aus unsern Tagen;Buch (Monographie);[Mikrofiche-Ausg.];Dresden;Meinhold;;;;;;;
348;Dabei, Adalmar;1886;Ein zerschelltes Wappenschild;Zeitroman aus unsern Adelskreisen;Buch (Monographie);[Mikrofiche-Ausg.];Dresden [u.a.];Minden;;;;;;;
349;Crome-Schwiening, Carl;1896-;Von Friedrichscron bis Friedrichsruh;Zeitroman in 2 Bden;Unklarer Dokumententyp;;;;;;;;;;
350;Crome-Schwiening, Carl;1896;Von Friedrichscron bis Friedrichsruh;;Buch (Monographie);;Leipzig;;;;;Bd. 1;;;
351;Crome-Schwiening, Carl;1896;Von Friedrichscron bis Friedrichsruh;;Buch (Monographie);;Leipzig;;;;;Bd. 2;;;
352;Crome-Schwiening, Carl;1894;Und Bebel sprach!;Von ... [Verf.: C. Crome-Schwiening.] Zeitroman  in 2 Bden;Unklarer Dokumententyp;;;;;;;;;;
353;Crome-Schwiening, Carl;1894;"Und Bebel sprach! ; Von ... [Verf.";C. Crome-Schwiening.]  Zeitroman in 2 Bden;Buch (Monographie);;Leipzig;A. Bergmann;;;;"Von ... [Verf.: C. Crome-Schwiening.]  Zeitroman in 2 Bden ; 1";;;
354;Crome-Schwiening, Carl;1894;"Und Bebel sprach! ; Von ... [Verf.";C. Crome-Schwiening.]  Zeitroman in 2 Bden;Buch (Monographie);;Leipzig;A. Bergmann;;;;"Von ... [Verf.: C. Crome-Schwiening.]  Zeitroman in 2 Bden ; 2";;;
355;Crome-Schwiening, Carl;1893-;Und Bebel sprach!;Zeitroman in zwei Bänden;Unklarer Dokumententyp;;;;;;;;;;
356;Crome-Schwiening, Carl;1893;Und Bebel sprach!;;Buch (Monographie);;Leipzig;Herrmann;;;;Bd.1;;;
357;Crome-Schwiening, Carl;1893;Und Bebel sprach!;;Buch (Monographie);;Leipzig;Herrmann;;;;Bd. 2;;;
358;Brun-Barnow, Ida;1903;Im Kampf mit Idealen;Zeitroman;Buch (Monographie);;Dresden [u.a.];Pierson;;;;;;;
359;Brun-Barnow, Ida;1899;Er und Sie;Zeitroman v. I. v. Brun-Barnow [d.i. Ida Brunsig Edle  v. Brun];Buch (Monographie);;Breslau;S. Schottlaender;;;;;;;
360;Brausewetter, Artur;1926;Und hätte der Liebe nicht ...’ . ein Zeitroman;;Buch (Monographie);1. - 10. Aufl.;Breslau [u.a.];Bergstadtverl.;;;;;;;
361;Bracker, Jörgen;2017;Genannt Claus Störtebeker;Ein historischer Zeitroman;Buch (Monographie);Sonderauflage;Norderstedt;Books on Demand;;;;Band 1;;;
362;Bolanden, Conrad;1890;Die Ultramontanen;Zeitroman;Unklarer Dokumententyp;;;;;;;;;;
363;Bolanden, Conrad;1890;Die Ultramontanen;;Buch (Monographie);;Trier;Dr. u. Verl. der Paulinus-Druckerei;;;;Bd. 1;;;
364;Bolanden, Conrad;1890;Die Ultramontanen;;Buch (Monographie);;Trier;Dr. u. Verl. der Paulinus-Druckerei;;;;Bd. 2;;;
365;Bolanden, Conrad;1873;Die Aufgeklärten;Ein Zeitroman;Buch (Monographie);3., umgerarb. Aufl.;Regensburg [u.a.];Pustet;;;;Bd. 21;;;
366;Bolanden, Conrad;1869;Die Aufgeklärten;Ein Zeitroman;Buch (Monographie);2. umgearb. Aufl.;Mainz;F. Kirchheim;;;;;;;
367;Bohnagen, Alfred;1917;Hausmann’s Kinder;Zeitroman von Alfred Bohnagen;Buch (Monographie);;Werdau i.S.;Meister;;;;Bd 35);;;
